file_name,SMILES
real/acs/1.png,O=C(N1S[R'])CCC1=O
real/acs/3.png,O=C(N[R])CCC(N[R])=O
real/acs/5.png,CC1=CC([R2])=C([R2])[P-]1
real/acs/6.png,[R]C(NC1=NC2=CC=CC=C2S1)=O
real/acs/7.png,[R]C(NC1=C(SC)C=CC=C1)=O
real/acs/36.png,[R]C1=C(C=CC=C2)C2=C(C3=CC=CC=C3)C4=C1OC5=C4C=CC=C5
real/acs/61.png,[R]C1=NC=NC(C)=C1C
real/acs/78.png,O=C(C([R2])C)N1CCC2=C1N=CC=C2
real/acs/jo990938e-Table-c7-7.png,[H]C#C[C@H](CCCCC)[C@@H](O)[R]
real/acs/ol502842f-Scheme-c3-8.png,C=CCC1(N(C(C2=C1C=CC([X])=C2)=O)[PMP])[H]
real/acs/acs.orglett.6b00233-Scheme-c2-7.png,[EDG]C1=CC2=C(C=C1)C3(CCC3)NCC2
real/acs/ja5080739-Scheme-c1-22.png,[R]/C=C/C([H])=O
real/acs/op0600106-Scheme-c4-0.png,O=S(N1CCOC1=O)(N([R1])[R2])=O
real/acs/acs.oprd.6b00037-Scheme-c2-5.png,C/C(C)=C\CC/C(C)=C/CC/C(C)=C/C(C(/C(C)=C/CC/C(C)=C/CC/C(C)=C/CO)[R])[R’]
real/acs/ol0348957-Figure-c1-9.png,[C6F5]C(C(F)(F)F)=O
real/acs/jo4007046-Table-c2-9.png,[G]C(C=C1)=CC=C1CC(O2)CCC2=O
real/acs/jo991681n-Scheme-c2-12.png,[H][C@]1(O[C@@]([H])([C@H]([R])C=C1)C(O[R'])=O)[C@@H](O[R''])C
real/acs/ol500444z-Scheme-c3-2.png,[R]C1OC1([R1])[N+]([O-])=O
real/acs/acs.orglett.5b02680-Scheme-c3-4.png,O=C1C(C=CC=C2)=C2NC3=C1C4(NC5=CC=CC=C53)CC[X]CC4
real/acs/acs.orglett.5b01754-Scheme-c1-12.png,[X]C1=CC2=CC=CC=C2C(C3=C(C([X])=CC4=C3C=CC=C4)S(N5)(=O)=O)=C1S5(=O)=O
real/acs/acs.joc.6b00020-Table-c1-3.png,[H][C@]12C[C]1(C3=CC([R'])=C(C=[C@]3[C@]4=C(C(OC)=C(C=C4C2)OC)OC)[R])[H]
real/acs/ja5080739-Scheme-c1-17.png,[EWG]c1ccc(N=O)cc1
real/acs/ja064212t-Scheme-c1-1.png,[R']/N=C(P([R])[R])/N([H])[R']
real/acs/jo982004g-Scheme-c2-2.png,[Ph]S(=O)(=O)CC(=C)CNC(C)[Ph]
real/acs/ol401042b-Table-c4-4.png,CC([C@H]([C@@H]([R’])C(C(OCC)=O)=C1)C=C1C(OCC)=O)C
real/acs/acs.orglett.5b02680-Scheme-c3-0.png,O=C1CC[X]CC1
